#,Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3
1,What type of bridge is the Golden Gate Bridge?,Suspension Bridge,Arch Bridge,Beam Bridge,Truss Bridge
2,What material is most commonly used in modern skyscrapers?,Steel,Wood,Glass,Brick
3,What is the purpose of a dam?,Store and control water,Produce cars,Build houses,Provide electricity only
4,Which engineer designs roads and highways?,Civil Engineer,Chemical Engineer,Electrical Engineer,Software Engineer
5,Which part of a bridge supports the weight?,Deck,Tower,Cable,Road Paint
6,What is concrete made of?,"Cement, sand, gravel, water","Plastic, glass, water","Wood, sand, water","Iron, steel, copper"
7,What tool measures land elevation?,Level,Hammer,Screwdriver,Wrench
8,What is asphalt mainly used for?,Roads,Furniture,Windows,Clothing
9,What is the main force pulling bridges downward?,Gravity,Friction,Magnetism,Heat
10,Which structure carries water over long distances?,Aqueduct,Dam,Tunnel,Tower
11,What is reinforced concrete strengthened with?,Steel Bars,Plastic Fibers,Wood,Aluminum
12,Which is a famous civil engineering wonder?,Great Wall of China,Internet,Space Shuttle,Computer Chip
13,Which foundation type is used for tall buildings?,Deep Pile,Shallow Pad,Gravel,Wooden Planks
14,What is erosion?,Wearing away of soil and rock,Mixing chemicals,Building bridges,Storing materials
15,What is the load that comes from wind or earthquakes called?,Dynamic Load,Dead Load,Static Load,Live Load
16,What does a blueprint show?,Design plans,Material prices,Weather,Safety codes
17,What is the primary purpose of a retaining wall?,Hold back soil,Store water,Generate power,Keep animals in
18,What does CAD software help engineers do?,Draw and design projects,Play games,Measure weather,Build engines directly
19,What structure helps cars cross rivers?,Bridge,Tunnel,Tower,Dam
20,What is the tallest type of crane used in construction?,Tower Crane,Mobile Crane,Overhead Crane,Gantry Crane
21,Which simple machine is a ramp?,Inclined Plane,Lever,Pulley,Wheel & Axle
22,What type of energy is in moving objects?,Kinetic,Potential,Thermal,Nuclear
23,What is the unit of force?,Newton,Watt,Volt,Joule
24,Which machine uses gears and pedals?,Bicycle,Car,Airplane,Tractor
25,What is torque?,Turning force,Speed,Distance,Temperature
