#,Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3
1,What type of plate boundary is the San Andreas Fault?,Transform,Convergent,Divergent,Subduction
2,Which seismic wave cannot travel through liquids?,S-Wave,P-Wave,Surface Wave,Rayleigh Wave
3,What is the main driving force of plate tectonics?,Convection Currents,Earth’s Rotation,Gravity,Tidal Forces
4,What type of rock forms from cooling of magma at Earth’s surface?,Extrusive Igneous,Intrusive Igneous,Metamorphic,Sedimentary
5,Which scientist developed the theory of continental drift?,Alfred Wegener,Charles Lyell,James Hutton,Harry Hess
6,What is the primary gas released during volcanic eruptions?,Water Vapor,Carbon Dioxide,Sulfur Dioxide,Methane
7,Which scale measures earthquake energy release more accurately than Richter?,Moment Magnitude,Mercalli,Fujita,Beaufort
8,"Which type of weather front produces long, steady rain?",Warm Front,Cold Front,Occluded Front,Stationary Front
9,What process describes the bending of seismic waves through different layers?,Refraction,Reflection,Diffraction,Dispersion
10,What is the largest layer of Earth by volume?,Mantle,Core,Crust,Lithosphere
11,What is the process that recycles oceanic crust back into the mantle?,Subduction,Convection,Seafloor Spreading,Faulting
12,What type of boundary is the Mid-Atlantic Ridge?,Divergent,Convergent,Transform,Subduction
13,What causes the Coriolis Effect?,Earth’s Rotation,Earth’s Tilt,Ocean Currents,Gravity
14,Which mineral is the primary component of limestone?,Calcite,Quartz,Feldspar,Gypsum
15,What type of rock is marble?,Metamorphic,Igneous,Sedimentary,Extrusive
16,What is the average salinity of ocean water?,3.5%,1%,5%,10%
17,What is the main cause of surface ocean currents?,Wind,Salinity,Tides,Seismic Activity
18,What do we call the long-term average of weather conditions?,Climate,Weather,Forecast,Season
19,What type of glacier covers Greenland?,Continental Glacier,Valley Glacier,Alpine Glacier,Ice Cap
20,Which layer of the atmosphere contains the ozone layer?,Stratosphere,Troposphere,Mesosphere,Thermosphere
21,What organelle is responsible for photosynthesis?,Chloroplast,Mitochondria,Ribosome,Nucleus
22,What are the monomers of proteins?,Amino Acids,Nucleotides,Fatty Acids,Monosaccharides
23,What phase of mitosis do chromosomes line up in the middle?,Metaphase,Prophase,Anaphase,Telophase
24,What are the sex chromosomes in males?,XY,XX,YY,XO
25,Who is the father of genetics?,Gregor Mendel,Charles Darwin,Watson,Crick
26,What process produces identical body cells?,Mitosis,Meiosis,Binary Fission,Fertilization
27,Which organ filters toxins from the blood?,Liver,Kidney,Pancreas,Spleen
28,Which type of RNA carries amino acids?,tRNA,mRNA,rRNA,snRNA
29,What process converts glucose into ATP in mitochondria?,Cellular Respiration,Photosynthesis,Fermentation,Hydrolysis
30,Which part of the brain controls balance and coordination?,Cerebellum,Cerebrum,Medulla,Thalamus
31,What process maintains a stable internal environment?,Homeostasis,Evolution,Osmosis,Metabolism
32,What is the main function of white blood cells?,Fight Infection,Carry Oxygen,Clot Blood,Transport Nutrients
33,What are the building blocks of nucleic acids?,Nucleotides,Amino Acids,Monosaccharides,Fatty Acids
34,What type of reproduction produces offspring genetically identical to parents?,Asexual,Sexual,Conjugation,Hybridization
35,What is the term for different forms of a gene?,Alleles,Traits,Chromatids,Loci
36,Which process in plants releases oxygen as a byproduct?,Photosynthesis,Respiration,Transpiration,Fermentation
37,What disease is caused by lack of insulin?,Diabetes,Cancer,Hypertension,Asthma
38,What are the functional units of the kidney?,Nephrons,Alveoli,Villi,Axons
39,Which macromolecule stores genetic information?,DNA,Protein,Lipid,Carbohydrate
40,What organ produces digestive enzymes and insulin?,Pancreas,Liver,Stomach,Gallbladder
41,What is the atomic number equal to?,Protons,Neutrons,Electrons,Atomic Mass
42,What type of bond transfers electrons?,Ionic,Covalent,Metallic,Hydrogen
43,What is the acceleration formula from Newton’s 2nd Law?,F ÷ m,m ÷ F,F × m,F – m
44,Which scientist discovered the electron?,J.J. Thomson,Rutherford,Bohr,Dalton
45,What is the unit for work?,Joule,Watt,Newton,Pascal
46,What is the energy stored in an object due to position?,Potential Energy,Kinetic Energy,Thermal Energy,Nuclear Energy
47,What law explains why a balloon expands when heated?,Charles’s Law,Boyle’s Law,Newton’s Law,Pascal’s Law
48,What is the pH of a neutral solution?,7,0,14,10
49,What is the speed of sound at sea level?,~343 m/s,~1500 m/s,~100 m/s,~3×10⁸ m/s
50,What type of reaction absorbs heat?,Endothermic,Exothermic,Neutralization,Combustion
51,Which subatomic particle determines chemical behavior?,Electrons,Protons,Neutrons,Nucleus
52,What is the resistance unit?,Ohm,Watt,Volt,Ampere
53,Which type of radiation has the highest energy?,Gamma,X-Ray,Ultraviolet,Radio
54,What type of wave is light?,Electromagnetic,Mechanical,Sound,Longitudinal
55,What is Avogadro’s number?,6.02 × 10²³,3.00 × 10⁸,1.67 × 10⁻²⁷,9.81
56,What is the mass number equal to?,Protons + Neutrons,Protons,Electrons,Neutrons
57,Which element has atomic number 26?,Iron,Nickel,Cobalt,Copper
58,What is the formula for kinetic energy?,½mv²,Fd,mgh,mcΔT
59,What type of circuit has multiple pathways?,Parallel,Series,Closed,Open
60,What is the chemical formula of methane?,CH₄,C₂H₆,CO₂,H₂O
61,Which planet has the fastest rotation?,Jupiter,Saturn,Earth,Neptune
62,What is the most common element in stars?,Hydrogen,Helium,Carbon,Oxygen
63,Who discovered Jupiter’s four largest moons?,Galileo,Copernicus,Newton,Kepler
64,What is the unit of distance equal to Earth–Sun average distance?,AU,Light Year,Parsec,Kilometer
65,What type of star is the Sun?,G-type Main Sequence,Red Giant,White Dwarf,Neutron Star
66,Which planet has the highest surface temperature?,Venus,Mercury,Mars,Jupiter
67,What is a supernova?,Exploding Star,Newborn Star,Collapsing Planet,Pulsar
68,What is the theory of the universe beginning from a single point?,Big Bang Theory,Steady State,String Theory,Expansion Theory
69,What type of galaxy is the Andromeda Galaxy?,Spiral,Elliptical,Irregular,Lenticular
70,What does Hubble’s Law describe?,Universe expansion,Planet motion,Light refraction,Gravity
71,Which planet has a day longer than its year?,Venus,Mercury,Saturn,Neptune
72,What are icy objects with tails in space called?,Comets,Asteroids,Meteoroids,Dwarf Planets
73,Which planet has the largest volcano in the solar system?,Mars,Earth,Venus,Mercury
74,What is the second largest planet?,Saturn,Neptune,Uranus,Earth
75,What is a pulsar?,Rotating Neutron Star,Collapsing Star,Black Hole,Supernova Remnant
76,What force prevents collapse of a star before supernova?,Nuclear Fusion,Gravity,Radiation,Magnetism
77,What type of radiation is left over from the Big Bang?,Cosmic Microwave Background,Gamma Rays,Ultraviolet,Infrared
78,What is the approximate age of the Sun?,4.6 billion years,10 billion,1 billion,500 million
79,What is the smallest planet in the solar system?,Mercury,Mars,Pluto,Venus
80,Which planet has the most extreme tilt?,Uranus,Neptune,Earth,Jupiter
81,What type of variable is kept constant in an experiment?,Controlled Variable,Dependent Variable,Independent Variable,Measured Variable
82,What is the SI unit for force?,Newton,Joule,Watt,Pascal
83,What is the difference between a theory and a law?,"Theory explains, law describes","Theory describes, law explains","Law is untested, theory is proven",Both are guesses
84,What is the purpose of peer review?,Validate results,Change hypothesis,Eliminate data,Prove law
85,What graph best shows change over time?,Line Graph,Pie Chart,Bar Graph,Scatter Plot
86,What is the independent variable in an experiment?,The one changed,The one measured,The control,The constant
87,What tool is used to measure gas pressure?,Manometer,Thermometer,Barometer,Voltmeter
88,What is a placebo used for in experiments?,Control comparison,Independent Variable,Bias check,Treatment
89,What SI unit measures energy?,Joule,Watt,Newton,Volt
90,Which process ensures experiments are repeatable by others?,Replication,Hypothesis,Validation,Sampling
91,Which branch of science deals with classifying organisms?,Taxonomy,Ecology,Genetics,Anatomy
92,What type of reasoning starts with a general principle?,Deductive,Inductive,Abstract,Critical
93,What is the SI prefix for one million?,Mega-,Kilo-,Centi-,Micro-
94,What is the systematic approach to solving scientific problems?,Scientific Method,Engineering Design,Trial & Error,Hypothesis
95,Which SI unit measures frequency?,Hertz,Newton,Pascal,Joule
96,What is the dependent variable?,The one measured,The one changed,The control,The constant
97,Which type of graph compares parts of a whole?,Pie Chart,Line Graph,Bar Graph,Scatter Plot
98,What is the SI base unit for amount of substance?,Mole,Gram,Liter,Dalton
99,What is a falsifiable statement in science?,Hypothesis,Law,Fact,Observation
100,"What is the process of designing, testing, and improving solutions?",Engineering Design Process,Scientific Method,Hypothesis Testing,Trial & Error
