#,Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3
1,What does GUI stand for?,Graphical User Interface,General Utility Input,Global User Integration,Graphical Universal Instruction
2,What does BIOS do in a computer?,Starts the operating system,Runs antivirus,Displays graphics,Stores user files
3,Which number system is hexadecimal based on?,16,8,10,2
4,What does SQL manage?,Databases,Operating systems,Graphics,Hardware devices
5,Which type of memory is fastest?,Cache,RAM,ROM,Hard Drive
6,Which company developed the Java language?,Sun Microsystems,Microsoft,IBM,Apple
7,Which logic gate outputs true only if both inputs are true?,AND,OR,NOT,XOR
8,What is Moore’s Law about?,Processor power doubles every ~2 years,Internet speeds double yearly,Computer prices drop in half,Screen sizes double
9,What is cybersecurity’s main goal?,Protect data and systems,Speed up computers,Sell new software,Store passwords
10,What is an IP v6 address based on?,128-bit system,32-bit system,64-bit system,16-bit system
11,Which is an example of open-source OS?,Linux,Windows,macOS,Chrome OS
12,What is the difference between RAM and ROM?,"RAM is temporary, ROM is permanent","RAM is permanent, ROM is temporary",Both store permanently,Both store temporarily
13,What is the main function of a compiler?,Translate code into machine language,Store variables,Debug programs,Format hard drives
14,What does encryption do to data?,Scrambles it into unreadable form,Deletes it permanently,Copies it to a backup,Compresses file size
15,Which is a biometric security method?,Fingerprint scanner,Password,PIN code,Username
16,What does HTTPs signify compared to HTTP?,Secure encryption,Higher speed,Different protocol,Wireless connection
17,What is artificial intelligence primarily designed to do?,Simulate human intelligence,Store passwords,Increase memory,Process graphics faster
18,What is the function of an operating system?,Manage hardware and software,Store permanent files,Run internet browsers,Print documents
19,What is big data characterized by?,"Volume, Velocity, Variety","Small, Fast, Simple","Compact, Secure, Easy","Storage, Speed, Cost"
20,What is cloud computing’s main advantage?,Remote access to resources,Faster hardware,Free software,No electricity needed
21,What does VoIP stand for?,Voice over Internet Protocol,Voice on Internal Processing,Virtual Online IP,Verified Output Internet Protocol
22,Which frequency band does Wi-Fi commonly use?,2.4 GHz and 5 GHz,1 GHz and 2 GHz,10 GHz and 20 GHz,100 MHz and 200 MHz
23,Which device directs data packets across networks?,Router,Switch,Hub,Firewall
24,What is bandwidth measured in?,Bits per second,Volts,Amperes,Watts
25,What does DNS do?,Translates domain names into IP addresses,Protects against viruses,Stores emails,Encrypts websites
26,What is latency in communication?,Delay in signal transfer,Strength of signal,Cost of service,Storage capacity
27,Which cable has the highest data transfer speed?,Fiber Optic,Coaxial,Twisted Pair,Copper Wire
28,What does 5G stand for?,Fifth Generation Mobile Network,5 Gigabytes Internet,Fast Global Network,Five Gateways
29,Which invention allowed instant long-distance voice communication?,Telephone,Telegraph,Radio,Television
30,What is the purpose of a firewall?,Block unauthorized access,Speed up computers,Boost Wi-Fi,Store passwords
31,Which medium was first used for digital communication?,Telegraph,Telephone,Radio,Television
32,What is a VPN used for?,Secure internet connections,Speed up browsing,Block viruses,Install apps
33,What does SMS limit messages to?,160 characters,500 characters,"1,000 characters",50 characters
34,Which protocol sends emails?,SMTP,FTP,HTTP,DNS
35,Which protocol receives emails?,IMAP,HTML,SQL,IPX
36,What does RFID stand for?,Radio Frequency Identification,Random File Input Data,Rapid Frequency Internet Device,Registered File ID
37,Which technology replaced pagers?,Cell Phones,Fax Machines,Telegrams,Radios
38,Which part of the electromagnetic spectrum do cell phones use?,Radio Waves,Infrared,Gamma Rays,Visible Light
39,Which invention allowed live broadcast television?,Cathode Ray Tube,Microchip,Transistor,Antenna
40,What is net neutrality?,All internet data treated equally,Free access for everyone,Unlimited internet,Paid fast lanes only
41,What invention revolutionized road transport in the 20th century?,Automobile,Train,Subway,Bicycle
42,Which system ensures airplanes land safely?,Air Traffic Control,GPS,Radar,Autopilot
43,What is the purpose of cruise control in cars?,Maintain constant speed,Stop quickly,Increase acceleration,Save radio stations
44,Which type of train uses magnets for levitation?,Maglev,Diesel,Steam,Subway
45,What is regenerative braking?,Converts kinetic energy into electrical energy,Stores braking power,Stops cars faster,Protects tires
46,Which invention enabled the space race?,Rocket,Jet Engine,Satellite,Telescope
47,Which vehicle is designed for underwater travel?,Submarine,Airplane,Hovercraft,Spaceship
48,Which invention made crossing the U.S. faster in the 1800s?,Railroads,Steamboats,Automobiles,Highways
49,What is a hyperloop?,High-speed transport in vacuum tubes,Underground subway,Drone system,Rocket transport
