#,Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3
1,What does CPU stand for?,Central Processing Unit,Computer Power Utility,Control Program Unit,Central Program Utility
2,What is the main function of RAM?,Store temporary data,Store permanent files,Process graphics,Connect to the internet
3,Which language is most commonly used for web pages?,HTML,Python,Java,C++
4,What is an algorithm?,Step-by-step instructions,A computer virus,A hardware device,A random guess
5,What is an example of an output device?,Printer,Keyboard,Scanner,Microphone
6,What is open-source software?,Free to use and modify,Software only for schools,Software made by Apple,Software without updates
7,Which type of memory is permanent?,ROM,RAM,Cache,Register
8,What does IP address stand for?,Internet Protocol,Internal Program,Information Port,Input Processing
9,What is phishing?,Tricking users to give personal info,Upgrading computers,Fixing computer bugs,Encrypting data
10,Which is an example of cloud computing?,Google Drive,CD-ROM,USB Drive,External Hard Drive
11,What does AI stand for?,Artificial Intelligence,Automated Input,Advanced Internet,Applied Information
12,What is the base of binary code?,2,10,16,8
13,Which company created the first computer mouse?,Xerox,Apple,Microsoft,IBM
14,What does Ctrl + C usually do?,Copy,Paste,Undo,Save
15,Which device turns digital signals into sound?,Speaker,Monitor,Keyboard,Mouse
16,Which is the most secure type of password?,"A mix of letters, numbers, and symbols",Your birthday,The word “password”,Your first name
17,What does malware mean?,Malicious Software,Multi-access Ware,Mobile Alert,Manual Warning
18,What is a search engine?,A tool to find info online,A device inside a computer,A type of software virus,A computer code language
19,What does IoT stand for?,Internet of Things,Information of Technology,Input over Time,Internet on Tablets
20,Which device stores the operating system?,Hard Drive,Mouse,RAM,Monitor
21,What does LAN stand for?,Local Area Network,Large Application Node,Long Access Network,Limited Application Net
22,What does WAN stand for?,Wide Area Network,Wireless Access Node,Web Application Net,Wired Area Net
23,What invention replaced the telegraph for voice communication?,Telephone,Radio,Television,Computer
24,What type of communication uses satellites for positioning?,GPS,SMS,FM Radio,Fax
25,What does fiber optic technology use to transmit data?,Light,Electricity,Sound,Magnetism
26,Which wireless technology connects small devices like headphones?,Bluetooth,Wi-Fi,Ethernet,USB
27,What does HTTP stand for?,Hypertext Transfer Protocol,High Tech Transfer Program,Hyper Tool Tracking Process,Host Text Transfer Protocol
28,Which type of communication is face-to-face?,Verbal,Digital,Written,Broadcast
29,What was the first social media platform?,Six Degrees,Facebook,MySpace,Twitter
30,What type of communication is a newspaper?,Print Media,Digital Media,Social Media,Satellite Media
31,What is the difference between email and instant messaging?,Email is slower and less direct,Email is always private,Instant messaging uses paper,IM works without the internet
32,What is an advantage of digital communication?,Faster and global,Always private,No electricity needed,No devices needed
33,What type of communication uses symbols and gestures?,Nonverbal,Broadcast,Print,Written
34,Which device converts sound into electrical signals?,Microphone,Speaker,Amplifier,Antenna
